Industry,Female_Employee_Percentage,Male_Employee_Percentage,Female_LIWC,Male_LIWC
Telecommunications,0.46,0.54,0,0
Telecommunications,0.37,0.63,0,0.29
Telecommunications,0.4,0.6,0,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.67,0.33,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.39,0.61,0.14,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.34,0.66,0,0.59
Telecommunications,,,0.32,0.11
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0.29
Telecommunications,,,0.15,0.15
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Transportation,0.32,0.68,0,0.24
Transportation,0.35,0.65,0,0.22
Transportation,0.31,0.69,0,0
Transportation,0.32,0.68,0,0.29
Transportation,0.38,0.62,0,0
Transportation,0.21,0.79,0,0
Transportation,0.34,0.66,0,0.13
Transportation,0.16,0.84,0,0
Transportation,0.35,0.65,0.16,0.48
Transportation,0.35,0.65,0,0
Transportation,0.36,0.64,0,0
Transportation,0.16,0.84,0,0
Transportation,0.37,0.63,0,0
Transportation,0.4,0.6,0,0
Transportation,0.41,0.59,0,0.13
Transportation,0.36,0.64,0,0.43
Transportation,0.14,0.86,0,0
Transportation,0.3,0.7,0.11,0.11
Transportation,0.26,0.74,0,0
Transportation,0.27,0.73,0,0.13
Transportation,0.29,0.71,0,0.26
Transportation,0.37,0.63,0.16,0
Transportation,0.51,0.49,0,0
Transportation,0.44,0.56,0,0
Transportation,0.5,0.5,0,0
Transportation,0.17,0.83,0,0.21
Transportation,0.14,0.86,0,0
Transportation,0.47,0.53,0,0
Transportation,0.3,0.7,0.16,0
Transportation,0.32,0.68,0,0
Transportation,0.44,0.56,0,0
Transportation,0.17,0.83,0,0
Transportation,0.14,0.86,0,0.22
Transportation,0.44,0.56,0,0
Transportation,0.4,0.6,0.25,0.08
Transportation,0.14,0.86,0,0.15
Transportation,0.3,0.7,0.14,0.14
Transportation,0.31,0.69,0,0
Transportation,0.12,0.88,0,0.12
Transportation,0.51,0.49,0.54,0.54
Transportation,0.32,0.68,0,0
Transportation,0.31,0.69,0.37,0
Transportation,0.3,0.7,0,0
Transportation,0.3,0.7,0,0.1
Transportation,0.53,0.47,0,0
Transportation,0.2,0.8,0,0
Transportation,0.39,0.61,0,0
Transportation,0.44,0.56,0,0
Transportation,0.14,0.86,0,0
Transportation,0.52,0.48,0,0
Transportation,0.48,0.52,0,0
Transportation,0.45,0.55,0,0
Transportation,0.23,0.77,0,0
Transportation,0.44,0.56,0,0
Transportation,0.27,0.73,0,0
Transportation,0.42,0.58,0,0
Transportation,0.17,0.83,0,0
Transportation,0.46,0.54,0,0.2
Transportation,0.28,0.72,0,0
Transportation,0.5,0.5,0,0.16
Transportation,0.2,0.8,0,0
Transportation,0.45,0.55,0,0
Transportation,0.12,0.88,0.24,0
Transportation,0.23,0.77,0,0.42
Transportation,0.17,0.83,0.14,0.14
Transportation,0.18,0.82,0,0.1
Transportation,0.37,0.63,0,0
Transportation,0.38,0.62,0,0
Transportation,0.53,0.47,0,0
Transportation,0.4,0.6,0,0
Transportation,0.29,0.71,0,0
Transportation,0.17,0.83,0,0
Transportation,0.41,0.59,0,0
Transportation,0.23,0.77,0,0
Transportation,0.36,0.64,0,0.14
Transportation,0.34,0.66,0,0.29
Transportation,0.27,0.73,0,0
Transportation,0.52,0.48,0,0
Transportation,0.47,0.53,0,0
Transportation,0.24,0.76,0.29,0
Transportation,0.28,0.72,0.66,0.66
Transportation,0.34,0.66,0,0
Transportation,0.16,0.84,0,0.15
Transportation,0.18,0.82,0,0
Transportation,0.16,0.84,0,0
Transportation,0.56,0.44,0,0
Transportation,0.28,0.72,0,0
Transportation,0.15,0.85,0,0
Transportation,0.38,0.62,0,0
Transportation,0.26,0.74,0,0
Transportation,,,0,0
Transportation,,,0,0.39
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0.18,0
Transportation,,,0,0.74
